[all run data];conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict
;19;19;2;2;23;14;7;8;6;22;20;13;4;17;21;1;48;14;5;19;9;14;28;13;6;7;20;15;26;9;14;13;13;8;23;25;12;13;22;23
;19;19;2;2;23;16;7;8;6;22;20;15;4;19;21;1;48;14;7;19;9;16;31;13;6;7;21;15;26;9;14;13;13;8;23;25;13;14;22;23
;19;19;2;2;23;18;7;8;6;22;20;15;4;21;23;1;50;14;9;19;9;16;31;13;6;8;21;15;26;9;14;13;13;8;24;25;14;14;22;23
;19;19;2;2;23;20;7;8;6;22;20;15;4;23;25;1;51;14;11;19;9;17;31;13;6;9;21;15;27;9;15;13;14;9;24;25;14;14;22;23
;19;19;2;2;23;20;7;8;6;22;20;15;4;25;27;1;51;14;13;19;9;17;31;13;6;9;21;15;28;9;15;14;16;9;24;25;14;14;22;23
;19;19;2;2;23;20;7;8;6;22;20;15;4;27;27;1;51;15;15;19;9;17;31;13;6;9;21;16;28;9;15;14;17;9;24;25;14;16;22;23
;19;19;2;2;23;20;7;8;6;22;22;15;4;29;27;1;51;16;15;19;9;18;31;13;8;9;21;16;28;9;15;14;18;9;24;25;15;17;22;24
;19;19;2;2;23;20;7;8;6;22;22;15;4;31;27;1;51;16;15;19;9;18;31;13;8;9;21;17;28;9;15;14;18;9;24;25;16;17;22;24
;20;21;2;4;24;20;7;8;6;22;23;15;4;33;27;1;51;16;15;19;9;18;31;13;9;9;21;17;28;9;15;15;18;9;24;25;16;17;22;24
;22;23;2;6;24;20;7;8;6;22;23;15;5;35;27;1;51;16;15;19;9;21;31;13;9;9;21;17;28;9;15;16;19;9;24;26;16;17;22;24
;24;25;2;6;24;20;7;8;6;23;23;15;7;37;27;1;52;16;15;20;9;21;31;13;9;9;21;17;29;9;15;16;20;9;24;26;16;17;22;24
;24;27;2;6;24;20;8;8;6;24;23;15;9;39;27;1;54;17;15;21;9;21;31;14;9;9;21;17;30;9;15;16;20;10;24;26;16;17;22;24
;24;29;2;6;24;20;8;8;6;24;23;15;11;41;27;1;59;20;15;21;9;21;32;14;9;10;21;17;32;9;15;16;21;10;24;26;16;17;22;24
;25;29;2;6;24;20;8;8;6;26;23;15;13;43;27;1;61;21;15;21;10;21;32;15;9;13;23;17;33;9;15;16;23;10;24;26;18;17;22;26
;25;29;3;6;24;20;8;8;6;28;23;15;13;45;28;1;63;21;15;21;11;21;32;15;9;18;23;17;33;10;15;16;23;10;24;28;18;17;22;26
;25;29;5;6;24;20;8;8;6;30;23;15;13;47;28;1;64;21;15;21;12;21;32;15;9;20;23;17;33;12;15;16;23;10;24;29;18;18;22;26
;25;29;5;6;26;20;8;8;6;31;24;17;13;49;29;1;64;21;15;21;12;21;32;15;9;22;23;17;33;12;15;16;23;10;24;29;18;18;22;26
;25;29;5;6;29;20;9;9;8;31;24;19;14;51;29;1;65;21;15;21;12;21;32;15;9;24;23;19;33;12;15;16;23;10;24;29;18;18;22;27
;25;29;5;6;33;20;9;9;10;33;24;20;15;53;30;1;67;21;15;21;12;21;32;17;9;26;23;20;33;12;15;16;25;10;25;29;18;18;22;27
;25;30;5;7;35;20;9;9;12;35;24;20;17;55;31;1;68;21;15;21;12;21;32;18;9;28;23;21;33;12;15;16;25;10;25;29;18;19;22;27
;25;30;5;8;39;20;11;9;15;37;24;20;17;57;32;1;68;22;15;21;12;21;32;18;10;30;25;21;33;12;15;16;26;10;25;29;18;19;22;27
;25;30;5;8;42;20;13;9;20;37;24;20;19;59;35;1;68;22;15;21;12;21;32;20;10;33;25;21;33;12;15;17;26;11;25;30;18;19;22;27
;25;30;5;8;43;20;15;10;24;37;24;21;21;61;37;1;68;22;15;21;14;22;32;20;10;35;25;21;33;12;15;17;26;11;25;30;18;19;22;27
;25;30;5;8;45;20;17;12;26;37;24;21;25;63;39;1;68;24;17;21;15;25;32;20;10;37;25;21;33;12;15;17;26;11;25;30;18;19;22;27
;25;30;5;8;45;20;17;12;28;37;24;23;27;65;41;1;69;24;17;21;15;25;32;20;11;39;26;21;33;12;15;17;26;11;25;30;18;19;22;27
;25;30;5;8;45;20;19;12;28;37;24;24;27;67;43;1;69;24;17;22;15;27;32;20;11;41;26;21;33;12;15;17;26;11;25;30;18;20;22;28
;25;30;5;8;45;20;21;12;28;37;26;24;27;69;45;2;69;25;17;23;15;27;32;20;11;43;27;21;33;12;15;17;26;11;25;30;19;22;24;29
;25;30;5;8;47;20;23;12;28;37;28;24;27;71;47;2;69;27;17;24;15;28;32;20;11;45;29;21;33;12;15;17;26;12;25;30;20;22;25;30
;25;30;5;8;49;21;24;12;29;37;30;25;27;73;47;2;69;30;17;24;15;28;32;24;11;47;30;21;33;12;15;17;26;14;25;31;20;24;25;30
;25;30;5;8;52;22;24;13;29;37;32;25;29;75;47;2;69;33;17;24;15;29;32;24;12;49;31;23;33;12;15;17;26;14;26;32;20;24;25;30
;25;30;5;8;54;23;24;13;29;38;34;25;33;77;47;2;69;36;17;24;15;29;32;24;14;51;31;23;33;12;15;17;26;14;26;32;21;24;25;30
;25;30;6;8;54;26;24;13;29;40;34;25;34;79;47;2;69;38;17;24;15;30;32;24;16;53;31;23;33;12;15;19;28;14;26;34;21;24;25;30
;25;30;6;8;55;26;24;14;29;42;34;25;34;81;47;3;69;38;17;24;15;30;34;24;18;55;31;23;33;12;15;20;31;14;27;35;21;24;25;30
;25;30;6;8;55;26;24;14;30;44;34;25;34;83;47;3;69;38;17;24;15;30;34;24;18;57;32;23;34;12;15;20;32;14;27;37;21;24;25;31
;25;30;6;8;55;26;24;15;32;46;35;25;36;85;47;3;70;38;17;24;15;30;34;24;18;59;32;23;34;12;17;22;32;14;27;37;21;24;25;32
;25;30;6;8;55;26;24;15;32;47;36;25;36;87;47;3;70;40;17;24;15;30;34;24;18;61;32;23;34;12;18;23;32;14;27;37;21;24;25;32
;25;30;6;8;55;27;24;15;32;47;38;27;36;89;47;3;70;41;17;24;15;30;36;24;18;66;32;23;34;12;18;23;32;14;27;37;21;24;25;32
;25;30;6;8;55;27;24;15;32;47;40;27;36;91;47;3;72;41;18;24;15;30;37;24;19;70;32;23;34;12;18;23;32;14;27;37;21;24;25;32
;25;30;7;8;55;28;26;15;32;47;42;27;36;93;47;3;72;41;18;24;16;30;37;24;19;74;32;23;35;12;18;23;32;14;27;37;21;24;25;33
;25;30;8;8;55;28;28;15;33;47;44;27;36;95;47;3;72;41;19;24;17;30;38;24;19;78;32;24;39;12;18;23;33;14;29;37;21;25;25;33
;25;30;9;8;55;28;30;15;34;47;46;27;36;96;48;3;72;41;19;24;17;30;38;24;19;83;32;24;40;12;19;23;33;14;29;38;21;25;25;33
;25;30;9;8;55;29;32;15;36;47;49;27;36;96;48;3;72;41;19;24;18;30;38;24;19;88;32;24;40;12;19;23;33;14;30;39;21;25;25;33
;25;30;9;8;56;29;34;15;38;47;51;27;36;96;48;3;72;41;19;24;18;30;38;24;19;92;32;24;40;12;19;24;33;14;31;39;21;25;25;33
;26;30;9;8;56;30;35;15;39;47;53;27;36;96;49;3;72;41;19;24;18;30;38;24;19;95;32;26;40;12;19;24;33;15;33;39;21;25;25;33
;28;32;9;8;56;31;35;15;39;48;53;27;36;96;49;3;72;41;19;24;20;30;38;25;19;99;32;26;40;12;19;24;33;15;34;39;21;25;25;33
;29;34;9;8;56;31;35;15;39;48;53;27;36;96;49;3;72;42;19;24;21;30;38;25;19;101;32;26;40;12;19;24;33;15;34;39;21;26;26;33
;31;36;9;8;57;31;35;15;39;48;54;27;36;96;49;3;72;43;19;24;21;30;38;25;19;103;33;26;41;12;20;24;33;15;34;39;21;26;26;33
;33;37;10;8;57;31;35;15;39;48;54;27;36;97;50;3;72;45;19;24;21;32;39;25;19;107;33;26;41;13;20;24;33;15;34;39;22;26;26;34
;34;39;12;8;57;31;35;16;39;48;54;27;36;97;50;3;72;46;19;24;21;32;39;25;20;109;33;26;41;13;20;24;33;15;34;39;23;26;26;34
;34;39;12;8;57;31;35;19;39;48;54;27;36;98;50;3;72;46;19;24;21;32;39;27;20;111;33;26;41;13;22;24;33;15;34;39;23;26;27;35
;34;41;12;8;58;32;37;23;39;48;54;27;36;99;50;4;72;46;19;24;22;32;39;27;20;113;33;26;41;14;22;25;33;15;34;39;23;27;29;37
;34;42;12;8;59;34;39;25;39;48;54;27;36;101;50;6;73;46;19;24;23;33;39;27;20;115;33;26;42;14;22;25;33;15;34;39;23;27;29;37
;34;42;12;8;59;36;41;26;39;49;54;27;36;101;50;8;74;46;19;24;23;33;39;27;20;117;33;26;43;14;22;25;33;15;34;39;23;27;29;37
;35;42;12;8;59;38;43;26;39;49;54;27;36;101;50;9;75;46;19;24;23;35;39;27;20;119;33;26;43;14;22;25;33;15;34;39;23;27;29;37
;36;42;12;8;59;40;45;26;39;49;56;27;36;101;50;9;75;46;20;25;23;35;39;27;20;123;33;26;43;14;22;25;33;15;34;40;23;27;29;37
;38;42;12;8;59;42;47;26;39;49;56;27;36;101;50;9;75;47;22;25;23;35;39;27;20;125;33;26;43;14;22;25;33;15;35;42;23;27;29;37
;40;42;12;8;59;44;48;27;39;49;56;27;36;101;50;9;75;49;24;25;23;35;39;27;20;129;33;28;43;14;22;26;33;15;35;43;23;27;29;37
;41;42;12;8;59;45;48;27;39;50;56;27;36;101;50;9;75;51;26;25;23;35;39;27;20;132;34;28;43;14;23;26;33;15;35;43;23;27;29;37
;42;42;12;8;59;45;48;27;39;50;56;27;37;101;50;9;75;51;28;27;23;35;39;28;20;135;34;28;43;15;24;26;33;17;38;43;24;27;30;37
;43;42;12;8;61;45;49;27;39;50;56;27;37;101;50;11;75;51;30;27;23;35;39;28;20;137;34;28;43;16;24;26;33;18;38;43;24;27;31;37
;43;42;12;8;64;45;49;27;39;50;56;27;37;101;52;12;75;51;32;27;23;35;39;30;20;139;34;28;43;16;24;26;33;18;38;44;24;27;31;37
;45;42;12;8;68;45;49;27;39;50;56;27;37;101;52;12;75;51;34;27;23;35;39;30;20;141;34;28;43;16;24;26;33;18;38;44;26;27;31;38
