[all run data];conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict
;68;73;22;31;97;63;63;54;64;75;76;51;58;136;79;37;108;66;181;58;42;67;70;46;39;162;48;58;70;122;49;42;42;34;57;54;41;49;59;53
;68;73;22;31;100;63;64;54;65;75;76;53;58;137;79;39;108;66;183;59;42;67;72;46;39;162;48;58;70;124;50;42;44;34;57;54;41;49;59;53
;68;74;22;31;102;63;64;54;66;77;76;55;60;137;79;41;108;66;186;60;42;70;72;46;42;162;48;58;70;126;50;43;45;35;57;54;41;49;59;53
;68;74;22;31;102;63;64;55;66;79;78;57;60;137;79;41;108;66;189;61;42;72;72;46;44;162;48;58;70;128;50;43;45;36;57;54;41;49;59;53
;68;74;22;31;102;63;64;55;66;79;78;57;60;137;79;41;108;66;189;62;43;72;72;46;46;162;48;58;71;130;50;43;45;36;57;54;41;49;59;53
;68;74;22;31;103;63;64;55;66;80;78;57;60;137;79;41;108;67;189;64;43;72;74;46;48;162;48;58;71;132;50;45;45;36;57;54;41;49;59;53
;68;74;22;31;105;63;65;55;67;81;78;57;60;137;79;41;108;69;189;64;43;72;74;46;50;162;48;58;71;134;50;45;45;36;57;54;41;49;59;53
;68;74;22;31;107;63;65;56;68;81;78;57;60;137;80;41;109;69;189;64;43;72;75;46;52;162;48;58;71;136;50;45;45;36;57;56;41;49;59;53
;68;74;22;31;109;63;65;58;68;81;78;57;60;137;81;41;109;69;189;64;43;73;75;46;54;162;48;58;71;138;51;45;45;36;57;57;41;49;59;55
;68;74;22;32;111;63;66;60;68;81;78;57;60;138;81;41;109;69;189;65;44;76;75;46;54;162;48;58;71;141;51;45;45;36;57;58;41;50;59;57
;68;74;22;33;113;63;67;62;68;81;78;57;60;140;81;41;109;69;189;66;44;77;75;46;54;162;48;58;71;144;54;45;45;36;57;58;41;51;59;58
;68;74;22;33;115;63;67;65;68;81;78;57;60;142;81;41;109;69;189;66;44;77;75;46;55;162;48;58;71;147;54;45;45;36;57;59;41;51;59;58
;68;74;22;33;117;63;67;68;68;81;78;57;60;144;83;41;109;71;189;68;44;77;76;46;55;162;48;58;72;149;54;45;45;36;57;59;41;51;59;58
;68;74;22;33;119;63;68;69;68;82;78;57;60;146;84;41;109;71;190;68;44;77;76;46;55;162;48;58;72;151;54;45;46;36;57;60;43;51;59;58
;70;74;22;33;120;64;70;69;68;82;79;57;60;148;84;41;109;71;191;68;44;77;76;46;55;162;48;58;72;153;54;45;47;36;57;61;45;51;59;58
